Step,Value53,Value44,Value35,bl_Value53,bl_Value44,bl_Value35
315392,11.56467438,12.85827255,13.32130337,11.00197411,12.01495743,12.43807983
317440,11.26493645,12.79081249,13.27722931,10.72303963,11.95998764,12.40279675
319488,11.28454876,12.66479492,13.18632698,10.7725544,11.86475372,12.34758282
321536,11.45919609,12.83178425,13.23947716,10.8909483,11.99102592,12.37627602
323584,11.37949753,12.80828094,13.28793621,10.79521942,11.96348858,12.42307091
325632,11.28186226,12.74122906,13.27464676,10.69314575,11.87172031,12.383564
327680,11.21861744,12.70767879,13.18667698,10.63724613,11.85175705,12.30865097
329728,11.46301937,12.81858921,13.27391052,10.87185955,11.95733833,12.38980865
331776,11.52014732,12.87983513,13.27938461,10.92141628,12.00241852,12.37288094
333824,11.22565842,12.68160534,13.22349358,10.6549015,11.83298779,12.33329773
335872,11.34054375,12.80189514,13.23387432,10.7392292,11.9328661,12.34632969
337920,11.44581223,12.66788483,13.23136902,10.87624264,11.82706547,12.36721992
339968,11.4980917,12.86478329,13.27667713,10.91623402,12.02035999,12.41935062
342016,11.51159954,12.92075443,13.31346798,10.9023056,12.04946804,12.43610954
344064,11.36111069,12.73472691,13.18819046,10.78640747,11.88874054,12.34298611
346112,11.31514931,12.73871899,13.16252899,10.71558571,11.88234997,12.3220911
348160,11.35136223,12.74110794,13.20547771,10.72041702,11.84543324,12.3080616
350208,11.34904003,12.85807991,13.2374649,10.7395668,11.97463036,12.38395405
352256,11.41629696,12.73976803,13.20835876,10.84422779,11.90509224,12.38130093
354304,11.33197498,12.8040514,13.29305935,10.71947193,11.92440414,12.41884136
356352,11.4034977,12.80894089,13.2609396,10.77199364,11.91312218,12.36827374
358400,11.46286106,12.81535435,13.21162987,10.86763668,11.95957756,12.39859867
360448,11.41130543,12.78664398,13.23482227,10.79133129,11.90281963,12.35231113
362496,11.50666618,12.81196499,13.26926136,10.88457966,11.92752266,12.38052368
364544,11.42273998,12.81918144,13.22290421,10.84339905,11.96733189,12.39299107
366592,11.37371159,12.75963402,13.2064991,10.79305172,11.90746784,12.36165428
368640,11.29794788,12.73103523,13.16072845,10.74196911,11.89381599,12.32642365
370688,11.52211094,12.89785862,13.3223505,10.91321468,12.01246738,12.42765617
372736,11.34792137,12.83165073,13.21295738,10.7479353,11.9454422,12.34306526
374784,11.43895245,12.82110786,13.25943851,10.85022831,11.94363499,12.37428093
376832,11.2008934,12.70283985,13.2146492,10.57422161,11.80933189,12.3140707
378880,11.44162369,12.8133707,13.17169285,10.82470226,11.92765141,12.2938776
380928,11.34503174,12.72807598,13.17713833,10.77088547,11.88976479,12.33870506
382976,11.44430637,12.75381851,13.23210621,10.82815456,11.87064362,12.3738575
385024,11.39192486,12.8063488,13.21216679,10.77949905,11.92553616,12.3607769
387072,11.18125343,12.66793251,13.16212177,10.64236546,11.83931065,12.35840702
389120,11.41397285,12.82552433,13.24585819,10.85024357,11.96493435,12.42313957
391168,11.26451969,12.74010468,13.20607662,10.68084145,11.87022114,12.34054375
393216,11.43089199,12.86418915,13.3006115,10.87669849,12.01053619,12.46797085
395264,11.23061562,12.65526962,13.17648983,10.65452576,11.79199123,12.32331753
397312,11.29576302,12.7396965,13.21827888,10.72531319,11.87711334,12.35651588
399360,11.50966263,12.86661053,13.31793499,10.93121433,12.00072098,12.46265316
401408,11.30178833,12.72803974,13.22933578,10.74294472,11.88296318,12.372859
403456,11.30751801,12.69149494,13.20229912,10.75176716,11.84370804,12.3418293
405504,11.42290306,12.86568642,13.28688622,10.8500948,11.9889431,12.40194988
407552,11.33759975,12.74376106,13.24030113,10.75306129,11.8767643,12.35584068
409600,11.56794262,12.85043812,13.31990814,10.97750473,11.95857143,12.433218
411648,11.21886635,12.67467213,13.2263937,10.67047024,11.83122635,12.37636375
413696,11.32532024,12.81799793,13.25354576,10.74893379,11.95471954,12.38402462
415744,11.42341232,12.81862545,13.24862766,10.84959412,11.94860935,12.36532211
417792,11.34876728,12.81948853,13.25497913,10.81075478,11.97059155,12.40824032
419840,11.21559143,12.7144928,13.19391441,10.6557169,11.86552238,12.33030415
421888,11.43447495,12.89311028,13.29287338,10.84679794,12.01193333,12.41143417
423936,11.47142506,12.86252594,13.26279831,10.90698528,11.99935436,12.41399288
425984,11.26510048,12.70863914,13.19417381,10.70717239,11.84808445,12.34747124
428032,11.41638851,12.78142834,13.23083591,10.83795738,11.91504097,12.37705135
430080,11.41197109,12.79375553,13.24423218,10.83991623,11.92854595,12.40020657
432128,11.45536327,12.82403851,13.2375679,10.85671043,11.95687771,12.38101768
434176,11.43204021,12.77071667,13.26701736,10.84129906,11.90970421,12.40746784
436224,11.27724934,12.732934,13.22643757,10.69779205,11.87245846,12.37352085
438272,11.36381817,12.7344532,13.16150475,10.79437637,11.89075947,12.33812809
440320,11.31948471,12.75260353,13.184021,10.69908142,11.8699398,12.30976391
442368,11.46491051,12.80402565,13.25818062,10.85484123,11.93679047,12.40822506
444416,11.28983307,12.78939533,13.2219944,10.67565727,11.89217091,12.32400131
446464,11.55894375,12.88601875,13.31871891,10.92912674,11.98392868,12.42513084
448512,11.32253456,12.75442505,13.20368195,10.72809696,11.88354969,12.32870007
450560,11.27772236,12.80307674,13.24278355,10.66898727,11.91213608,12.37025356
452608,11.33452988,12.74113083,13.2058773,10.75508022,11.88568211,12.34638405
454656,11.40124893,12.83911514,13.32408142,10.80289841,11.97069359,12.44771767
456704,11.52754688,12.86023712,13.24808025,10.93052769,11.99294949,12.3788414
458752,11.43871784,12.80901146,13.23173141,10.86435318,11.95112514,12.39684486
460800,11.31085682,12.76710415,13.26116848,10.71336555,11.89203453,12.39031315
462848,11.31890774,12.73477173,13.17170429,10.72956562,11.87333488,12.3217392
464896,11.41758919,12.79896164,13.27564621,10.78654957,11.90676308,12.37127399
466944,11.34998417,12.77843952,13.24794292,10.77648544,11.92725563,12.3926487
468992,11.42986584,12.88383293,13.31376362,10.84716702,12.02117348,12.44458866
471040,11.3708992,12.7728138,13.19013596,10.757761,11.89805126,12.33495045
473088,11.44351292,12.82387447,13.30537987,10.81258678,11.92680645,12.38913631
475136,11.23100281,12.70103359,13.17618179,10.63704872,11.83702087,12.33913994
477184,11.23752689,12.70827389,13.19948006,10.65470505,11.85772324,12.363657
479232,11.28990078,12.6826973,13.21909523,10.67960835,11.81018639,12.3373642
481280,11.42709351,12.77522659,13.21805668,10.82440376,11.92501926,12.36367035
483328,11.51174736,12.81979847,13.28156662,10.88284397,11.94110107,12.39195061
485376,11.40957928,12.79952431,13.24762821,10.83187199,11.96313763,12.41774464
487424,11.46115208,12.82514095,13.27841568,10.87189198,11.97012138,12.42934799
489472,11.38672733,12.82675552,13.26509953,10.8008585,11.9802494,12.43296051
491520,11.46754646,12.77608967,13.26345825,10.84932137,11.90237236,12.37920952
493568,11.28459358,12.72982979,13.23762608,10.69680405,11.8999939,12.39690018
495616,11.4207201,12.79095554,13.22934151,10.82818508,11.94075203,12.38271332
497664,11.34037209,12.7961483,13.28129101,10.74541473,11.94462967,12.41400814
499712,11.3769207,12.80353832,13.29700089,10.75596523,11.94745922,12.410779
501760,11.37069321,12.73567867,13.22396183,10.76732445,11.89240551,12.36015892
503808,11.41390133,12.83137703,13.25540161,10.78605652,11.95816898,12.35912991
505856,11.42006683,12.76784706,13.28449535,10.79269981,11.89221573,12.40414238
507904,11.45386887,12.76207924,13.25128174,10.87985706,11.94571114,12.41001225
509952,11.42490292,12.83719254,13.23998547,10.79585838,11.95797062,12.3489151
512000,11.4045229,12.78684902,13.24297333,10.80859375,11.93259239,12.37231636
514048,11.43729115,12.75072479,13.23911858,10.85540009,11.91563511,12.3830595
516096,11.58627033,12.93515491,13.31560612,10.9712944,12.06607246,12.43515396
518144,11.24360847,12.73644447,13.22923851,10.64289951,11.88473415,12.38329792
520192,11.56656837,12.88429546,13.29426861,10.94577408,12.0056715,12.40489864
522240,11.38823128,12.76850891,13.24036598,10.76379776,11.89133072,12.35314941
524288,11.37203693,12.79217243,13.24395943,10.75893974,11.9345808,12.38033009
526336,11.40930557,12.83141994,13.20899868,10.79596233,11.9557991,12.32565022
528384,11.45635414,12.86126423,13.31081676,10.86452103,12.01193523,12.45147133
530432,11.49864578,12.89044571,13.28585148,10.85707188,12.008564,12.40038872
532480,11.54607964,12.88382053,13.28380489,10.91341209,11.99942493,12.38834763
534528,11.48721027,12.7759943,13.24149036,10.84637737,11.88957214,12.35002995
536576,11.49234676,12.92793369,13.28175259,10.88316154,12.07161903,12.41991234
538624,11.30227089,12.68659973,13.16419792,10.67475605,11.81208324,12.26580715
540672,11.4377079,12.89710999,13.32064915,10.80813885,12.01540089,12.42431927
542720,11.37671757,12.75374889,13.27388382,10.7773962,11.90213013,12.40911674
544768,11.367342,12.70530319,13.24901199,10.73351192,11.82765007,12.34183884
546816,11.34286213,12.76955032,13.25350666,10.75382042,11.93286991,12.38073921
548864,11.46916485,12.88661385,13.32030487,10.82697964,11.99374104,12.42307186
550912,11.42263317,12.75993347,13.27321625,10.77251816,11.87084961,12.36638832
552960,11.3547802,12.79984283,13.21753311,10.77174759,11.94753742,12.35438156
555008,11.37357426,12.7345562,13.28331566,10.73710537,11.85236168,12.36996078
557056,11.31301594,12.74963951,13.23130035,10.69952488,11.88570976,12.34754372
559104,11.30868244,12.74959183,13.27883816,10.70142746,11.89096546,12.40110302
561152,11.48248386,12.8867979,13.31076431,10.85721493,12.00020981,12.41059208
563200,11.46736622,12.78658009,13.2755785,10.84915257,11.90659714,12.37797546
565248,11.35338974,12.71468163,13.21477127,10.73910046,11.84320164,12.32937813
567296,11.37794304,12.83977795,13.27214718,10.78135014,11.98620224,12.41020679
569344,11.24308968,12.69937992,13.23233604,10.61469364,11.82458401,12.3294878
571392,11.22826099,12.68725967,13.14840221,10.60775375,11.81308079,12.26455688
573440,11.44472885,12.84920979,13.26172733,10.83310604,11.96851635,12.3796072
575488,11.41497707,12.89943027,13.28421688,10.78999996,12.00951672,12.38753414
577536,11.37874603,12.79928398,13.22531128,10.75856781,11.93307781,12.35242653
579584,11.43306541,12.7435627,13.28308678,10.82454014,11.89499664,12.42373753
581632,11.44901657,12.81009865,13.2991848,10.82378483,11.94061375,12.42308807
583680,11.41472626,12.81124592,13.30924129,10.79673576,11.93180656,12.39173794
585728,11.56300163,12.86680794,13.30027294,10.92293358,11.96893978,12.39243603
587776,11.54203606,12.89830303,13.35811806,10.89424419,11.97668552,12.4104681
589824,11.49569607,12.83305836,13.25090599,10.88626003,11.96694851,12.37757206
591872,11.50696373,12.8480196,13.23338127,10.90088844,11.97561646,12.35704994
593920,11.41273022,12.86479855,13.26580238,10.77024269,11.9594326,12.35608006
595968,11.35199928,12.77491474,13.2363987,10.74715233,11.8920536,12.35949612
598016,11.46846104,12.83929253,13.23589516,10.85755062,11.98266315,12.38845348
